Season_End_Year,Squad,Comp,Player,Nation,Pos,Age,Born,MP_Playing,Starts_Playing,Min_Playing,Mins_Per_90_Playing,Gls,Ast,G_minus_PK,PK,PKatt,CrdY,CrdR,Gls_Per,Ast_Per,G+A_Per,G_minus_PK_Per,G+A_minus_PK_Per,Url
2020,Barcelona,La Liga,Lionel Messi,ARG,"FW,MF",32,1987,33,32,2880,32,25,21,20,5,5,4,0,0.78,0.66,1.44,0.62,1.28,https://fbref.com/en/players/d70ce98e/Lionel-Messi
2020,Bayern Munich,Bundesliga,Thomas Müller,GER,"MF,FW",29,1989,33,26,2255,25.1,8,21,8,0,0,5,0,0.32,0.84,1.16,0.32,1.16,https://fbref.com/en/players/3c6089ab/Thomas-Muller
2020,Manchester City,Premier League,Kevin De Bruyne,BEL,MF,28,1991,35,32,2791,31,13,20,11,2,2,3,0,0.42,0.64,1.06,0.35,1,https://fbref.com/en/players/e46012d4/Kevin-De-Bruyne
2015,Wolfsburg,Bundesliga,Kevin De Bruyne,BEL,"FW,MF",23,1991,34,34,3047,33.9,10,20,10,0,0,3,0,0.3,0.59,0.89,0.3,0.89,https://fbref.com/en/players/e46012d4/Kevin-De-Bruyne
2011,Barcelona,La Liga,Lionel Messi,ARG,"FW,MF",23,1987,33,31,2858,31.8,31,19,27,4,4,3,0,0.98,0.6,1.57,0.85,1.45,https://fbref.com/en/players/d70ce98e/Lionel-Messi
2021,Bayern Munich,Bundesliga,Thomas Müller,GER,MF,30,1989,32,31,2674,29.7,11,19,10,1,1,0,0,0.37,0.64,1.01,0.34,0.98,https://fbref.com/en/players/3c6089ab/Thomas-Muller
2016,Arsenal,Premier League,Mesut Özil,GER,MF,26,1988,35,35,3035,33.7,6,19,6,0,0,4,0,0.18,0.56,0.74,0.18,0.74,https://fbref.com/en/players/16380240/Mesut-Ozil
2015,Barcelona,La Liga,Lionel Messi,ARG,"FW,MF",27,1987,38,37,3375,37.5,43,18,38,5,6,4,0,1.15,0.48,1.63,1.01,1.49,https://fbref.com/en/players/d70ce98e/Lionel-Messi
2016,Paris S-G,Ligue 1,Ángel Di María,ARG,"FW,MF",27,1988,29,26,2122,23.6,10,18,10,0,0,0,0,0.42,0.76,1.19,0.42,1.19,https://fbref.com/en/players/19cda00b/Angel-Di-Maria
2017,RB Leipzig,Bundesliga,Emil Forsberg,SWE,"MF,FW",24,1991,30,27,2338,26,8,18,7,1,2,1,1,0.31,0.69,1,0.27,0.96,https://fbref.com/en/players/9a2e0ccc/Emil-Forsberg
